PATO:0000000	pato
PATO:0001024	power
PATO:0001025	pressure
PATO:0001026	work
PATO:0001027	physical quantity
PATO:0001028	acceleration
PATO:0001029	efficiency
PATO:0001030	flux
PATO:0001031	elasticity
PATO:0001033	stiffness
PATO:0001034	strain
PATO:0001035	force
PATO:0001036	relative life span
PATO:0001037	absolute life span
PATO:0001038	ratio
PATO:0001039	absolute ratio
PATO:0001040	relative ratio
PATO:0001041	relative amplitude
PATO:0001042	absolute amplitude
PATO:0001043	susceptibility toward
PATO:0001044	absolute power
PATO:0001045	relative power
PATO:0001046	resistance to
PATO:0001047	absolute resistance
PATO:0001048	relative resistance
PATO:0001049	absolute susceptibility
PATO:0001050	relative susceptibility
PATO:0001051	acute angle to
PATO:0001052	obtuse angle to
PATO:0001053	convex angle to
PATO:0001054	internal angle
PATO:0001055	reflex angle to
PATO:0001056	number
PATO:0001057	relative acceleration
PATO:0001058	absolute acceleration
PATO:0001059	relative efficiency
PATO:0001060	absolute efficiency
PATO:0001061	relative elasticity
PATO:0001062	absolute elasticity
PATO:0001063	relative flux
PATO:0001064	absolute flux
PATO:0001065	relative stiffness
PATO:0001066	absolute stiffness
PATO:0001067	absolute strain
PATO:0001068	relative strain
PATO:0001069	relative density
PATO:0001070	absolute density
PATO:0001071	relative energy
PATO:0001072	absolute energy
PATO:0001073	relative impulse
PATO:0001074	absolute impulse
PATO:0001075	absolute momentum
PATO:0001076	relative momentum
PATO:0001077	absolute pressure
PATO:0001078	relative pressure
PATO:0001079	absolute work
PATO:0001080	relative work
PATO:0001081	physical measure value
PATO:0001082	damage value
PATO:0001083	acceleration value
PATO:0001084	relative acceleration value
PATO:0001085	absolute acceleration value
PATO:0001086	efficiency value
PATO:0001087	relative efficiency value
PATO:0001088	absolute efficiency value
PATO:0001089	elasticity value
PATO:0001090	absolute elasticity value
PATO:0001091	relative elasticity value
PATO:0001092	flux value
PATO:0001093	relative flux value
PATO:0001094	absolute flux value
PATO:0001095	force value
PATO:0001096	absolute force value
PATO:0001097	relative force value
PATO:0001098	absolute force
PATO:0001099	relative force
PATO:0001100	position value
PATO:0001101	stiffness value
PATO:0001102	absolute stiffness value
PATO:0001103	relative stiffness value
PATO:0001104	strain value
PATO:0001105	absolute strain value
PATO:0001106	relative strain value
PATO:0001107	density value
PATO:0001108	relative amplitude value
PATO:0001109	absolute amplitude value
PATO:0001110	absolute density value
PATO:0001111	relative density value
PATO:0001112	energy value
PATO:0001113	absolute energy value
PATO:0001114	relative energy value
PATO:0001115	impulse value
PATO:0001116	relative impulse value
PATO:0001117	absolute impulse value
PATO:0001118	momentum value
PATO:0001119	absolute momentum value
PATO:0001120	relative momentum value
PATO:0001121	power value
PATO:0001122	absolute power value
PATO:0001123	relative power value
PATO:0001124	pressure value
PATO:0001125	absolute pressure value
PATO:0001126	relative pressure value
PATO:0001127	work value
PATO:0001128	absolute work value
PATO:0001129	relative work value
PATO:0001130	ratio value
PATO:0001131	absolute ratio value
PATO:0001132	relative ratio value
PATO:0001133	immunoglobulin concentration
PATO:0001134	ig a concentration
PATO:0001135	ig d concentration
PATO:0001136	ig e concentration
PATO:0001137	ig g concentration
PATO:0001138	ig m concentration
PATO:0001139	urine glucose composition
PATO:0001140	immunoglobulin concentration value
PATO:0001141	ig a concentration value
PATO:0001142	ig d concentration value
PATO:0001143	ig e concentration value
PATO:0001144	ig g concentration value
PATO:0001145	ig m concentration value
PATO:0001146	resistance value
PATO:0001147	absolute resistance value
PATO:0001148	relative resistance value
PATO:0001149	susceptibility value
PATO:0001150	absolute susceptibility value
PATO:0001151	relative susceptibility value
PATO:0001152	susceptible toward
PATO:0001153	insusceptible toward
PATO:0001154	elongated
PATO:0001155	absolute concentration
PATO:0001156	relative concentration
PATO:0001157	absolute concentration value
PATO:0001158	relative concentration value
PATO:0001159	concentrated
PATO:0001160	unconcentrated
PATO:0001161	diluted
PATO:0001162	increased concentration
PATO:0001163	decreased concentration
PATO:0001164	dense
PATO:0001165	urine enzyme composition value
PATO:0001166	urine enzyme composition
PATO:0001167	damaged
PATO:0001168	undamaged
PATO:0001170	numerical value
PATO:0001171	elastic
PATO:0001172	inelastic
PATO:0001173	urine glucose composition value
PATO:0001174	urine composition
PATO:0001175	urine composition
PATO:0001176	deaf
PATO:0001177	blind
PATO:0001178	resistant to
PATO:0001179	immune
PATO:0001180	relative response
PATO:0001181	absolute response
PATO:0001182	relative response
PATO:0001183	absolute response value
PATO:0001184	maturity value
PATO:0001185	larval
PATO:0001186	prepubescent
PATO:0001187	pupal
PATO:0001188	prepupal
PATO:0001189	adolescent
PATO:0001190	juvenile
PATO:0001191	medial to
PATO:0001192	hyperresponsive to
PATO:0001193	lateral to
PATO:0001194	hyporesponsive to
PATO:0001195	proximal to
PATO:0001196	ventral to
PATO:0001197	modified direction
PATO:0001198	unmodified direction
PATO:0001199	linear
PATO:0001200	T-shaped
PATO:0001201	Y-shaped
PATO:0001204	not enlarged
PATO:0001205	dentated
PATO:0001206	serrated
PATO:0001207	absolute compatability
PATO:0001208	odorless
PATO:0001209	absolute function
PATO:0001210	plane_angle_quantity
PATO:0001211	solid_angle_quantity
PATO:0001212	length_unit
PATO:0001213	mass_unit
PATO:0001214	temparature_unit
PATO:0001215	time_unit
PATO:0001216	volume_unit
PATO:0001217	energy_unit
PATO:0001218	substance_unit
PATO:0001219	area_unit
PATO:0001220	angle_unit
PATO:0001221	plane_angle_unit
PATO:0001222	solid_angle_unit
PATO:0001223	quantitative value
PATO:0001224	real number
PATO:0001225	relational number
PATO:0001227	variant
PATO:0001228	dull
PATO:0001229	high saturation
PATO:0001230	strength
PATO:0001231	cold insensitive
PATO:0001232	heat insentive
PATO:0001233	dorsal to
PATO:0001234	distal to
PATO:0001235	strength value
PATO:0001236	process quality
PATO:0001241	physical object quality
PATO:0001242	wavelength
PATO:0001243	light blue
PATO:0001244	dark blue
PATO:0001245	dark brown
PATO:0001246	light brown
PATO:0001247	light cyan
PATO:0001248	dark cyan
PATO:0001249	dark green
PATO:0001250	light green
PATO:0001251	dark grey
PATO:0001252	light grey
PATO:0001253	light magenta
PATO:0001254	dark magenta
PATO:0001255	light orange
PATO:0001256	dark orange
PATO:0001257	light deep pink
PATO:0001258	deep pink
PATO:0001259	dark purple
PATO:0001260	light purple
PATO:0001261	dark red
PATO:0001262	light red
PATO:0001263	dark yellow
PATO:0001264	light yellow
PATO:0001265	saturated blue
PATO:0001266	desaturated blue
PATO:0001267	saturated brown
PATO:0001268	desaturated brown
PATO:0001269	saturated cyan
PATO:0001270	desaturated cyan
PATO:0001271	saturated green
PATO:0001272	desaturated green
PATO:0001273	bright grey
PATO:0001274	pale grey
PATO:0001275	saturated magenta
PATO:0001276	desaturated magenta
PATO:0001277	saturated orange
PATO:0001278	desaturated orange
PATO:0001280	dark pale pink
PATO:0001281	saturated purple
PATO:0001282	desaturated purple
PATO:0001283	saturated red
PATO:0001284	desaturated red
PATO:0001285	saturated yellow
PATO:0001286	desaturated yellow
PATO:0001287	red brown
PATO:0001288	dark red brown
PATO:0001289	light red brown
PATO:0001290	fluorescent
PATO:0001291	electromagnetic (EM) radiation quality
PATO:0001292	full-spectrum EM radiation quality
PATO:0001293	absorption quality
PATO:0001294	radiation reflective quality
PATO:0001295	albedo
PATO:0001296	luminous flux
PATO:0001297	reflectivity
PATO:0001298	phosphorescence
PATO:0001299	radiation emitting quality
PATO:0001300	optical quality
PATO:0001301	chromatic property
PATO:0001302	vermilion
PATO:0001303	variability
PATO:0001304	variability of temperature
PATO:0001305	increased temperature
PATO:0001306	decreased temperature
PATO:0001307	decreased variability of temperature
PATO:0001308	increased variability of temperature
PATO:0001309	duration
PATO:0001310	duration of temperature
PATO:0001311	decreased duration of temperature
PATO:0001312	increased duration of temperature
PATO:0001313	invariant temperature
PATO:0001314	variant temperature
PATO:0001315	mild increased temperature
PATO:0001316	moderate increased temperature
PATO:0001317	severe increased temperature
PATO:0001318	indiscriminate
PATO:0001319	discriminate
PATO:0001320	pubescent hair
PATO:0001321	right angle to
PATO:0001322	straight angle to
PATO:0001323	area
PATO:0001324	bilateral symmetry
PATO:0001325	radial symmetry
PATO:0001326	left-right symmetry
PATO:0001327	zygomorphic
PATO:0001328	actinomorphic
PATO:0001329	flavourful
PATO:0001330	flavourless
PATO:0001331	odorous
PATO:0001332	amorphous
PATO:0001333	temporally extended
PATO:0001334	diameter
PATO:0001335	bacterial mating type
PATO:0001336	unknown sex
PATO:0001337	yeast mating type
PATO:0001338	mixed sex
PATO:0001339	biomaterial purity
PATO:0001340	hermaphrodite
PATO:0001341	a mating type (yeast)
PATO:0001342	Saccharomyces cerevisiae mating type
PATO:0001343	Schizosaccharomyces pombe mating type
PATO:0001344	alpha mating type (yeast)
PATO:0001345	h minus
PATO:0001346	h plus
PATO:0001347	F mating type
PATO:0001348	F minus mating type
PATO:0001349	high frequency recombinant
PATO:0001350	angular acceleration
PATO:0001351	area density
PATO:0001352	linear density
PATO:0001353	volumetric density
PATO:0001354	translucent
PATO:0001355	convex
PATO:0001356	pleomorphic
PATO:0001357	pulvinate
PATO:0001358	umbonate
PATO:0001359	rugose
PATO:0001360	filamentous
PATO:0001361	warty
PATO:0001362	fragile
PATO:0001364	rhizoidal
PATO:0001365	spiny
PATO:0001366	punctiform
PATO:0001367	lobate
PATO:0001368	erose
PATO:0001369	raised
PATO:0001370	viscid
PATO:0001371	mucoid
PATO:0001372	refractivity
PATO:0001373	glistening
PATO:0001374	ploidy
PATO:0001375	haploid
PATO:0001376	monoploid
PATO:0001377	polyploid
PATO:0001378	autopolyploid
PATO:0001379	allopolyploidy
PATO:0001380	paleopolyploid
PATO:0001381	triploid
PATO:0001382	tetraploid
PATO:0001383	pentaploid
PATO:0001384	hexaploid
PATO:0001385	aneuploid
PATO:0001386	monosomy
PATO:0001387	disomy
PATO:0001388	uniparental disomy
PATO:0001389	trisomy
PATO:0001390	partial trisomy
PATO:0001391	mosaic trisomy
PATO:0001392	endopolyploid
PATO:0001393	euploid
PATO:0001394	diploid
PATO:0001395	haplodiploid
PATO:0001396	cellular quality
PATO:0001397	cellular potency
PATO:0001398	self-renewal
PATO:0001399	totipotent
PATO:0001400	unipotent
PATO:0001401	oligopotent
PATO:0001402	multipotent
PATO:0001403	pluripotent
PATO:0001404	nucleate quality
PATO:0001405	anucleate
PATO:0001406	binucleate
PATO:0001407	mononucleate
PATO:0001408	ciliatedness
PATO:0001409	spindle-shaped
PATO:0001410	striated
PATO:0001411	structured
PATO:0001412	unstructured
PATO:0001413	angular velocity
PATO:0001414	catalytic activity
PATO:0001415	morbidity
PATO:0001416	regular duration
PATO:0001417	irregular duration
PATO:0001418	lethargic
PATO:0001419	sharp
PATO:0001420	buoyancy
PATO:0001421	alive
PATO:0001422	dead
PATO:0001423	refractile
PATO:0001424	violet
PATO:0001425	rosy
PATO:0001426	maroon
PATO:0001427	compound acidity
PATO:0001428	medium acidity
PATO:0001429	acidic
PATO:0001430	alkaline
PATO:0001431	adhesivity
PATO:0001432	decayed
PATO:0001433	growth quality of occurrent
PATO:0001434	reproductive quality
PATO:0001435	attachment quality
PATO:0001436	sessile (sensu botany)
PATO:0001437	sessile (sensu zoology)
PATO:0001438	pedicellate
PATO:0001439	tonicity
PATO:0001440	homophilic
PATO:0001441	heterophilic
PATO:0001442	wholeness
PATO:0001444	broken
PATO:0001445	disassembled
PATO:0001446	whole
PATO:0001447	calcified
PATO:0001448	ossified
PATO:0001449	cartilaginous
PATO:0001450	edematous
PATO:0001451	edematous (sensu botany)
PATO:0001453	detached from
PATO:0001454	sensitivity to oxygen
PATO:0001455	aerobic
PATO:0001456	anaerobic
PATO:0001457	sensitivity of a process
PATO:0001458	sensitivity of a process to oxygen
PATO:0001459	aerobic (for occurrence)
PATO:0001460	anaerobic (for occurrence)
PATO:0001461	surface tension
PATO:0001462	membrane potential
PATO:0001463	action potential
PATO:0001464	electric potential
PATO:0001465	monstrous
PATO:0001466	curved rostral
PATO:0001467	curved caudal
PATO:0001468	curved dorsal
PATO:0001469	curved ventral
PATO:0001470	proportionality to
PATO:0001472	decreased depth
PATO:0001473	duplicated
PATO:0001474	anteverted
PATO:0001475	increased position
PATO:0001476	decreased position
PATO:0001477	retracted
PATO:0001478	collapsed
PATO:0001480	spongy
PATO:0001481	sloped
PATO:0001482	prominent
PATO:0001483	aplastic
PATO:0001484	recent
PATO:0001485	condensed
PATO:0001486	chronological age
PATO:0001487	senescent
PATO:0001488	cellular motility
PATO:0001490	heterochronic growth
PATO:0001491	neotenous growth
PATO:0001492	growth rate
PATO:0001493	hypertrophic growth
PATO:0001494	hypotrophic growth
PATO:0001495	notched
PATO:0001496	brood quality
PATO:0001497	brood viability
PATO:0001499	spherical
PATO:0001500	tapered
PATO:0001501	immature
PATO:0001502	complexity
PATO:0001503	simple
PATO:0001504	complex
PATO:0001505	separated from
PATO:0001506	diastatic
PATO:0001507	disrupted
PATO:0001509	functionality
PATO:0001510	functional
PATO:0001511	non-functional
PATO:0001512	punctate
PATO:0001514	delaminated
PATO:0001515	variable color
PATO:0001516	focus
PATO:0001517	focused
PATO:0001518	blurry
PATO:0001519	sound quality
PATO:0001520	sound frequency
PATO:0001521	sound amplitude
PATO:0001522	sound speed
PATO:0001523	sound wavelength
PATO:0001524	intrasonic
PATO:0001525	sonic
PATO:0001526	ultrasonic
PATO:0001527	quiet
PATO:0001528	loud
PATO:0001529	cellular spatiotemporal quality
PATO:0001530	behavioral quality of a process
PATO:0001531	cellular adhesivity
PATO:0001532	mono-colored
PATO:0001533	multi-colored
PATO:0001534	motley
PATO:0001535	dappled
PATO:0001536	solubility
PATO:0001537	soluble in
PATO:0001538	insoluble in
PATO:0001539	amylose composition
PATO:0001540	glutinous
PATO:0001541	non-glutinous
PATO:0001542	delayed phase
PATO:0001543	flexibility
PATO:0001544	flexible
PATO:0001545	inflexible
PATO:0001546	quality of a solid
PATO:0001547	quality of a gas
PATO:0001548	quality of a liquid
PATO:0001549	increased sensitivity toward
PATO:0001550	decreased sensitivity toward
PATO:0001551	increased sensitivity of a process
PATO:0001552	decreased sensitivity of a process
PATO:0001553	increased sensitivity of a process to oxygen
PATO:0001554	decreased sensitivity of a process to oxygen
PATO:0001555	has number of
PATO:0001558	lacking processual parts
PATO:0001559	having extra function
PATO:0001561	having extra processual parts
PATO:0001562	decreased mass
PATO:0001563	increased mass
PATO:0001564	extra or missing processual parts
PATO:0001566	distributed
PATO:0001567	undistributed
PATO:0001570	having decreased processual parts
PATO:0001571	dilated
PATO:0001573	isometrical
PATO:0001574	flow rate
PATO:0001575	decreased pressure
PATO:0001576	increased pressure
PATO:0001577	increased permeability
PATO:0001578	decreased permeability
PATO:0001579	contractility
PATO:0001580	increased contractility
PATO:0001581	decreased contractility
PATO:0001582	relaxational quality
PATO:0001583	decreased variability
PATO:0001584	increased variability
PATO:0001585	conductivity
PATO:0001586	variability of rate
PATO:0001587	increased variability of rate
PATO:0001588	decreased variability of rate
PATO:0001589	enhanced
PATO:0001590	overlap with
PATO:0001591	curvature
PATO:0001592	increased curvature
PATO:0001593	decreased curvature
PATO:0001594	arched
PATO:0001595	depth
PATO:0001596	increased depth
PATO:0001597	everted
PATO:0001598	protruding
PATO:0001599	rotated
PATO:0001600	posteriorly rotated
PATO:0001601	anteriorly rotated
PATO:0001602	distended
PATO:0001603	increased life span
PATO:0001604	decreased life span
PATO:0001605	disheveled
PATO:0001606	greasy
PATO:0001607	matted
PATO:0001608	patchy
PATO:0001609	sparse
PATO:0001611	variability of color
PATO:0001612	increased variability of color
PATO:0001613	decreased variability of color
PATO:0001614	invariant color
PATO:0001615	variant color
PATO:0001617	deformed
PATO:0001618	increased tonicity
PATO:0001619	decreased tonicity
PATO:0001620	turgor
PATO:0001621	decreased turgor
PATO:0001622	increased turgor
PATO:0001623	atrophied
PATO:0001624	decreased functionality
PATO:0001625	increased functionality
PATO:0001626	sufficiency
PATO:0001627	sufficient
PATO:0001628	insufficient
PATO:0001629	aggregated
PATO:0001630	dispersed
PATO:0001632	anterior to
PATO:0001633	posterior to
PATO:0001634	necessity (continuant)
PATO:0001635	necessary (continuant)
PATO:0001636	unnecessary (continuant)
PATO:0001637	necessity of occurrent
PATO:0001638	necessary (occurrent)
PATO:0001639	unnecessary (occurrent)
PATO:0001643	stubby
PATO:0001645	protruding into
PATO:0001646	protruding out of
PATO:0001648	circumference
PATO:0001649	curved lateral
PATO:0001650	increased resistance to
PATO:0001651	decreased resistance to
PATO:0001652	alignment
PATO:0001653	aligned with
PATO:0001654	misaligned with
PATO:0001655	osmolarity
PATO:0001656	decreased osmolarity
PATO:0001657	increased osmolarity
PATO:0001658	dorsally rotated
PATO:0001659	ventrally rotated
PATO:0001660	decreased action potential
PATO:0001661	increased action potential
PATO:0001662	fragility
PATO:0001663	increased solubility
PATO:0001664	decreased solubility
PATO:0001665	superficial
PATO:0001667	attached to
PATO:0001668	associated with
PATO:0001669	increased susceptibility toward
PATO:0001670	decreased susceptibility toward
PATO:0001671	increased distribution
PATO:0001672	decreased distribution
PATO:0001673	cystic
PATO:0001674	catalytic (activity) concentration
PATO:0001675	decreased efficiency
PATO:0001676	increased efficiency
PATO:0001677	inefficient
PATO:0001678	efficient
PATO:0001679	specific volume
PATO:0001680	molar volume
PATO:0001681	molar mass
PATO:0001682	magnetism
PATO:0001683	increased magnetism
PATO:0001684	decreased magnetism
PATO:0001685	magnetic
PATO:0001686	non-magnetic
PATO:0001687	elevation
PATO:0001688	increased elevation
PATO:0001689	decreased elevation
PATO:0001690	contractile
PATO:0001691	non-contractile
PATO:0001693	increased viscosity
PATO:0001694	decreased viscosity
PATO:0001695	increased fecundity
PATO:0001696	decreased fecundity
PATO:0001697	decreased photosensitivity
PATO:0001698	increased photosensitivity
PATO:0001699	regular sleep pattern
PATO:0001700	irregular sleep pattern
PATO:0001701	mature
PATO:0001702	saturated violet
PATO:0001703	desaturated violet
PATO:0001704	light violet
PATO:0001705	dark violet
PATO:0001706	behavioural inactive
PATO:0001707	behavioural active
PATO:0001708	1-D extent
PATO:0001709	2-D extent
PATO:0001710	3-D extent
PATO:0001711	perimeter
PATO:0001712	increased perimeter
PATO:0001713	decreased perimeter
PATO:0001714	increased diameter
PATO:0001715	decreased diameter
PATO:0001716	non-fragile
PATO:0001717	radiation emitting intensity quality
PATO:0001718	luminance
PATO:0001719	receptivity
PATO:0001720	female receptivity
PATO:0001721	male receptivity
PATO:0001723	increased female receptivity
PATO:0001724	decreased female receptivity
PATO:0001725	increased male receptivity
PATO:0001726	decreased male receptivity
PATO:0001727	disposition
PATO:0001728	multi-cellular organismal disposition
PATO:0001729	shedability
PATO:0001730	deciduous (generic)
PATO:0001731	deciduous (plant)
PATO:0001732	non-deciduous (any body part)
PATO:0001733	evergreen (plant)
PATO:0001734	semi-deciduous(plant)
PATO:0001735	liquid configuration
PATO:0001736	solid configuration
PATO:0001737	gaseus configuration
PATO:0001738	dissociated from
PATO:0001739	radiation quality
PATO:0001740	activity (of a radionuclide)
PATO:0001741	radioactive
PATO:0001742	increased radioactivity
PATO:0001743	decreased radioactivity
PATO:0001744	radiation exposure
PATO:0001745	radiation absorbed dose
PATO:0001746	radiation equivalent dose
PATO:0001747	radiation effective dose
PATO:0001748	invaginated
PATO:0001749	paedomorphic growth
PATO:0001750	postdisplaced growth
PATO:0001751	progenetic growth
PATO:0001752	peramorphic growth
PATO:0001753	accelerated growth
PATO:0001754	predisplaced growth
PATO:0001755	hypermorphic growth
PATO:0001756	heat conductivity
PATO:0001757	electrical conductivity
PATO:0001758	nerve conductivity
PATO:0001759	granular
PATO:0001760	female semi-fertile
PATO:0001761	male semi-fertile
PATO:0001762	male semi-sterile
PATO:0001763	female semi-sterile
PATO:0001764	increased age
PATO:0001765	decreased age
PATO:0001766	cellular polarity
PATO:0001767	semi-fertile
PATO:0001768	semi-lethal (sensu genetics)
PATO:0001769	positional polarity
PATO:0001770	semi-viable
PATO:0001772	surrounding
PATO:0001773	monophasic
PATO:0001774	polyphasic
PATO:0001775	dorsal-ventral polarity
PATO:0001776	increased flexibility
PATO:0001777	decreased flexibility
PATO:0001778	increased strength
PATO:0001779	decreased strength
PATO:0001780	dystrophic
PATO:0001781	irregular thickness
PATO:0001782	increased intensity
PATO:0001783	decreased intensity
PATO:0001784	bifurcated
PATO:0001785	splayed
PATO:0001786	split
PATO:0001787	rotational curvature
PATO:0001788	increased mass density
PATO:0001789	domed
PATO:0001790	decreased mass density
PATO:0001791	multi-localised
PATO:0001792	left side of
PATO:0001793	right side of
PATO:0001794	coiling
PATO:0001795	increased coiling
PATO:0001796	decreased coiling
PATO:0001798	kinked
PATO:0001799	ruffled
PATO:0001800	water composition
PATO:0001801	decreased water composition
PATO:0001802	loose
PATO:0001803	phototoxic
PATO:0001804	scaly
PATO:0001805	flaky
PATO:0001806	sensitivity to irradiation
PATO:0001807	decreased sensitivity to irradiation
PATO:0001808	increased sensitivity to irradiation
PATO:0001809	tight
PATO:0001810	wrinkled
PATO:0001811	increased relaxation
PATO:0001812	decreased relaxation
PATO:0001813	atonicity
PATO:0001814	dystonicity
PATO:0001815	fatigability
PATO:0001816	increased fatigability
PATO:0001817	decreased fatigability
PATO:0001818	progressive
PATO:0001819	atretic
PATO:0001821	imperforate
PATO:0001822	wetness
PATO:0001823	wet
PATO:0001824	dry
PATO:0001825	increased wetness
PATO:0001826	decreased wetness
PATO:0001827	pseudohermaphrodite
PATO:0001828	male pseudohermaphrodite
PATO:0001829	female pseudohermaphrodite
PATO:0001830	decreased female fertility
PATO:0001831	increased female fertility
PATO:0001832	increased male fertility
PATO:0001833	decreased male fertility
PATO:0001834	decreased fertility
PATO:0001835	increased fertility
PATO:0001836	congested
PATO:0001838	decreased fluid flow
PATO:0001839	increased fluid flow
PATO:0001841	remittent intensity
PATO:0001842	acidity
PATO:0001843	decreased acidity
PATO:0001844	increased acidity
PATO:0001845	irregular rhythm
PATO:0001846	tangled
PATO:0001847	constricted
PATO:0001848	asymmetrically curved
PATO:0001849	abrased
PATO:0001850	scarred
PATO:0001851	swollen
PATO:0001852	dislocated
PATO:0001853	hydrocephalic
PATO:0001854	vertical
PATO:0001855	horizontal
PATO:0001856	introverted
PATO:0001857	concave
PATO:0001858	partially paralysed
PATO:0001859	increased coordination
PATO:0001860	decreased coordination
PATO:0001861	fasciculated
PATO:0001862	lack of fertility in offspring
PATO:0001863	chronic
PATO:0001865	spheroid
PATO:0001866	prolate
PATO:0001867	rectangular
PATO:0001868	autofluorescence
PATO:0001869	pathological
PATO:0001870	crescent-shaped
PATO:0001871	reniform
PATO:0001872	cuboid
PATO:0001873	cylindrical
PATO:0001874	discoid
PATO:0001875	triangular
PATO:0001876	dumbbell-shaped
PATO:0001877	lanceolate
PATO:0001878	sigmoid
PATO:0001879	U-shaped
PATO:0001880	caudate
PATO:0001881	arrow-shaped
PATO:0001882	limaciform
PATO:0001883	clavate
PATO:0001884	hydrophobicity
PATO:0001885	hydrophobic
PATO:0001886	hydrophilicity
PATO:0001887	hydrophilic
PATO:0001888	miscibility
PATO:0001889	scalloped
PATO:0001890	tripartite
PATO:0001891	ovate
PATO:0001892	decreased odor
PATO:0001893	increased odor
PATO:0001894	phenotypic sex
PATO:0001895	mating type
PATO:0001896	unlumenized
PATO:0001897	lumenized
PATO:0001898	increased circumference
PATO:0001899	decreased circumference
PATO:0001900	front
PATO:0001901	back
PATO:0001902	unidirectional
PATO:0001903	bi-directional
PATO:0001904	circling direction
PATO:0001905	has normal numbers of parts of type
PATO:0001906	movement quality
PATO:0001907	botryoidal
PATO:0001908	multinucleate
PATO:0001909	trinucleate
PATO:0001910	folded
PATO:0001911	circling
PATO:0001912	physiological state
PATO:0001913	ictal
PATO:0001914	non-ictal
PATO:0001915	anterodorsal to
PATO:0001916	posterodorsal to
PATO:0001917	anteroventral to
PATO:0001918	posteroventral to
PATO:0001919	mislocalised dorsally
PATO:0001920	mislocalised ventrally
PATO:0001921	mislocalised anteriorly
PATO:0001922	mislocalised posteriorly
PATO:0001923	mislocalised laterally
PATO:0001924	mislocalised medially
PATO:0001925	surface feature shape
PATO:0001926	increased fluorescence
PATO:0001927	decreased fluorescence
PATO:0001928	blistered
PATO:0001929	variability of shape
PATO:0001930	variant shape
PATO:0001931	invariant shape
PATO:0001932	alternate placement
PATO:0001933	opposite
PATO:0001934	orbicular
PATO:0001935	obtuse
PATO:0001936	obovate
PATO:0001937	spatulate
PATO:0001938	rhomboid
PATO:0001940	gigantic
PATO:0001941	yellow green
PATO:0001942	brown green
PATO:0001943	lilac
PATO:0001944	yellow orange
PATO:0001945	ochre
PATO:0001946	banded
PATO:0001947	netted
PATO:0001948	furrowed
PATO:0001949	pointleted
PATO:0001950	blunt
PATO:0001951	whorled
PATO:0001952	distichous
PATO:0001953	decussate
PATO:0001954	subulate
PATO:0001955	cuneate
PATO:0001956	variability of size
PATO:0001957	decreased variability of size
PATO:0001958	increased variability of size
PATO:0001959	defasciculated
PATO:0001960	interdigitated
PATO:0001961	in contact with
PATO:0001962	involute
PATO:0001963	revolute
PATO:0001964	circinate
PATO:0001965	reclinate
PATO:0001966	convolute
PATO:0001967	actinodromous
PATO:0001968	parallelodromous
PATO:0001969	craspedodromous
PATO:0001970	brochidodromous
PATO:0001971	cladodromous
PATO:0001972	reticulodromous
PATO:0001973	cuspidate
PATO:0001974	retuse
PATO:0001975	unserrated
PATO:0001976	serration
PATO:0001977	angular
PATO:0001978	cut
PATO:0001979	lobed
PATO:0001980	digitate
PATO:0001981	auriculate
PATO:0001982	attenuate
PATO:0001983	perfoliate
PATO:0001984	decurrent
PATO:0001985	frozen
PATO:0001986	dissolved
PATO:0001987	saccular
PATO:0001988	quadrangular
PATO:0001989	sinuous
PATO:0001990	duration of disease
PATO:0001991	immortal
PATO:0001992	cellularity
PATO:0001993	multicellular
PATO:0001994	unicellular
PATO:0001995	organismal quality
PATO:0001997	present in fewer numbers in organism
PATO:0001998	conspicuousness
PATO:0001999	lacks parts or has fewer parts of type
PATO:0002000	lacks all parts of type
PATO:0002001	has fewer parts of type
PATO:0002002	has extra parts of type
PATO:0002003	population quality
PATO:0002004	surface shape
PATO:0002005	concavity
PATO:0002006	2-D shape
PATO:0002007	convex 3-D shape
PATO:0002008	concave 3-D shape
PATO:0002009	branchiness
PATO:0002010	looseness
PATO:0002011	neoplastic
PATO:0002012	coating
PATO:0002013	fasciculation
PATO:0002014	structure, cavities
PATO:0002016	magnitude
PATO:0002017	increased magnitude
PATO:0002018	decreased magnitude
PATO:0002019	aplastic growth
PATO:0002020	pale pink
PATO:0002021	conical
PATO:0002022	villiform
PATO:0002023	apical-basal polarity
PATO:0002024	anterior-posterior polarity
PATO:0002025	external angle
PATO:0002026	non-progressive
PATO:0002027	osmolality
PATO:0002028	decreased osmolality
PATO:0002029	increased osmolality
PATO:0002030	specificity to
PATO:0002031	upturned
PATO:0002032	forward scatter
PATO:0002033	side scatter
PATO:0002034	undivided
PATO:0002035	ipsilateral to
PATO:0002036	axial to
PATO:0002037	degeneration
PATO:0002038	non-degenerate
PATO:0002039	biconcave
PATO:0002040	biconvex
PATO:0002041	anterior-posterior diameter
PATO:0002042	decreased anterior-posterior diameter
PATO:0002043	increased anterior-posterior diameter
PATO:0002044	trapezoid
PATO:0002045	dendritic
PATO:0002046	abaxial to
PATO:0002047	adaxial to
PATO:0002048	mosaicism
PATO:0002049	lateral and rotional curvature
PATO:0002050	present in normal numbers in organism
PATO:0002051	increased occurrence
PATO:0002052	decreased occurrence
PATO:0002053	dorso-ventrally flattened
PATO:0002054	laterally compressed
PATO:0002055	increased fragility
PATO:0002056	decreased fragility
PATO:0002057	increased area
PATO:0002058	decreased area
PATO:0002059	emmision wavelength
